,grid,rank,grid_tmp
2388,그리드3211,1,3211
2068,그리드2783,2,2783
608,그리드1061,3,1061
2024,그리드2728,4,2728
526,그리드941,5,941
688,그리드1181,6,1181
2384,그리드3207,7,3207
2641,그리드3886,8,3886
1145,그리드1698,9,1698
1876,그리드2549,10,2549
931,그리드1460,11,1460
1923,그리드2606,12,2606
2266,그리드3029,13,3029
426,그리드808,14,808
119,그리드334,15,334
254,그리드565,16,565
466,그리드864,17,864
2017,그리드2721,18,2721
636,그리드1110,19,1110
1001,그리드1535,20,1535
60,그리드215,21,215
1435,그리드2027,22,2027
2423,그리드3269,23,3269
550,그리드983,24,983
1773,그리드2428,25,2428
2172,그리드2909,26,2909
336,그리드686,27,686
1459,그리드2060,28,2060
736,그리드1243,29,1243
2498,그리드3390,30,3390
1247,그리드1816,31,1816
378,그리드744,32,744
545,그리드978,33,978
2260,그리드3023,34,3023
628,그리드1102,35,1102
766,그리드1280,36,1280
2264,그리드3027,37,3027
1538,그리드2148,38,2148
121,그리드336,39,336
1887,그리드2560,40,2560
1587,그리드2206,41,2206
92,그리드278,42,278
195,그리드462,43,462
649,그리드1123,44,1123
833,그리드1352,45,1352
1090,그리드1636,46,1636
1354,그리드1938,47,1938
2120,그리드2846,48,2846
2131,그리드2857,49,2857
189,그리드456,50,456
424,그리드806,51,806
1616,그리드2244,52,2244
1670,그리드2307,53,2307
793,그리드1307,54,1307
892,그리드1416,55,1416
2349,그리드3149,56,3149
1328,그리드1905,57,1905
1,그리드36,58,36
603,그리드1056,59,1056
477,그리드875,60,875
1057,그리드1597,61,1597
332,그리드682,62,682
601,그리드1054,63,1054
998,그리드1532,64,1532
1716,그리드2362,65,2362
1147,그리드1700,66,1700
259,그리드570,67,570
1986,그리드2680,68,2680
252,그리드563,69,563
1039,그리드1579,70,1579
487,그리드885,71,885
960,그리드1489,72,1489
2032,그리드2736,73,2736
355,그리드705,74,705
874,그리드1398,75,1398
2064,그리드2779,76,2779
150,그리드392,77,392
138,그리드353,78,353
605,그리드1058,79,1058
665,그리드1158,80,1158
505,그리드920,81,920
2560,그리드3503,82,3503
1164,그리드1717,83,1717
973,그리드1507,84,1507
1193,그리드1754,85,1754
571,그리드1004,86,1004
2057,그리드2772,87,2772
587,그리드1040,88,1040
1162,그리드1715,89,1715
58,그리드213,90,213
513,그리드928,91,928
724,그리드1231,92,1231
1475,그리드2076,93,2076
2496,그리드3388,94,3388
261,그리드572,95,572
1585,그리드2204,96,2204
935,그리드1464,97,1464
2206,그리드2955,98,2955
263,그리드574,99,574
2026,그리드2730,100,2730
1550,그리드2169,101,2169
2163,그리드2900,245,2900
846,그리드1365,247,1365
201,그리드468,250,468
1611,그리드2239,257,2239
1479,그리드2080,258,2080
1330,그리드1907,259,1907
1137,그리드1690,261,1690
552,그리드985,264,985
1990,그리드2684,266,2684
1332,그리드1909,267,1909
2022,그리드2726,269,2726
787,그리드1301,275,1301
1398,그리드1990,284,1990
2432,그리드3278,285,3278
103,그리드289,289,289
1118,그리드1664,290,1664
651,그리드1125,293,1125
764,그리드1278,294,1278
371,그리드737,296,737
933,그리드1462,298,1462
1508,그리드2118,314,2118
1965,그리드2659,318,2659
2299,그리드3078,320,3078
2204,그리드2953,322,2953
1934,그리드2617,323,2617
1713,그리드2359,330,2359
2418,그리드3264,333,3264
1756,그리드2411,334,2411
774,그리드1288,336,1288
1453,그리드2054,347,2054
1461,그리드2062,348,2062
180,그리드447,353,447
1642,그리드2270,357,2270
2012,그리드2716,360,2716
809,그리드1328,365,1328
1659,그리드2296,368,2296
2029,그리드2733,373,2733
384,그리드750,374,750
156,그리드398,382,398
1113,그리드1659,385,1659
1760,그리드2415,390,2415
1730,그리드2376,393,2376
2506,그리드3398,394,3398
1130,그리드1683,396,1683
395,그리드761,398,761
1912,그리드2595,400,2595
115,그리드330,402,330
718,그리드1225,403,1225
1009,그리드1543,405,1543
366,그리드716,411,716
109,그리드295,416,295
1621,그리드2249,419,2249
237,그리드526,420,526
187,그리드454,430,454
1270,그리드1839,431,1839
1473,그리드2074,435,2074
2301,그리드3080,438,3080
1394,그리드1986,441,1986
2166,그리드2903,442,2903
1502,그리드2112,443,2112
1614,그리드2242,444,2242
523,그리드938,445,938
435,그리드817,447,817
806,그리드1325,450,1325
915,그리드1444,452,1444
441,그리드823,453,823
912,그리드1441,458,1441
1758,그리드2413,459,2413
464,그리드862,469,862
388,그리드754,470,754
638,그리드1112,477,1112
1251,그리드1820,481,1820
1958,그리드2652,482,2652
132,그리드347,486,347
1268,그리드1837,495,1837
1657,그리드2294,505,2294
2342,그리드3142,507,3142
1371,그리드1955,513,1955
1581,그리드2200,514,2200
417,그리드799,515,799
72,그리드227,517,227
1404,그리드1996,525,1996
2010,그리드2714,526,2714
579,그리드1012,530,1012
831,그리드1350,532,1350
