,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
0,35,0.0,0.0,0.0,0.0,0.0,0.0,3939.84,0.0,608.3335153032876,2127.677825316755,1172.1249836065622,30.24430529051395,0.0,23824,60.760902360582
1,36,0.0,3732.81,0.0,0.0,0.0,0.0,0.0,0.0,602.7206901930308,2112.893293462695,1249.5247498659223,24.877114835210747,0.5,38802,72.4337080531064
2,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.5678694349896,2102.7654920096093,1329.9423696618746,115.5768759531485,1.0,38802,0.0
3,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.8908694399148,2097.3618817072393,1412.8626244189802,214.70125405723743,1.0,14978,0.0
4,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.5923339263542,2096.718988066623,1497.8699433214447,314.3798873319295,0.5,14978,0.0
5,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.6825231918733,2100.841181675067,1584.628480588144,373.677984651292,0.5,14978,0.0
6,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.8319948350291,2109.700530867225,1672.8657921795002,426.1067177377898,0.5,14978,0.0
7,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.8115583975853,2123.237738191624,1762.3597755737128,485.9686344045826,0.5,14978,0.0
8,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.7159885425616,2141.364088484813,1825.10645371284,557.4617194770393,1.0,14978,0.0
9,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0178718341332,2163.9642625610572,1842.7578853023235,636.6797468681316,1.0,14978,0.0
10,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.5335512275092,2190.8998159312246,1865.6095999416857,614.0606321422001,1.5,14978,0.0
11,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.3597392555398,2222.0130919686767,1893.4733254110265,532.7386370903687,1.5,14978,0.0
12,95,0.0,195.02,0.0,0.0,0.0,0.0,21186.73,0.0,508.392329199254,2029.2210367734588,1109.3585897430062,117.15649388919338,0.5,23824,107.73719366263599
13,96,0.0,366.78,0.0,0.0,0.0,0.0,4159.8,0.0,503.37731057592003,2013.713771205952,1190.8449181022997,80.40718910553795,0.5,23824,91.7364077516787
14,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.7976158230034,2003.0845698081455,1274.969114004249,138.58015910817397,1.0,38802,67.8204326967607
15,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.8873129742368,1997.4113097866411,1361.242207957245,195.68378661298198,1.0,38802,78.53008018118379
16,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.8252595362571,1996.7362350415854,1449.2804905029666,233.78721424801844,1.0,38802,0.0
17,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.5145209359189,2001.064404110971,1538.7810162411845,290.4293155593212,1.0,38802,0.0
18,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.6499152487742,2010.36350237088,1629.5028616425286,344.88881180344947,0.5,14978,0.0
19,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.3744976460573,2024.5650345531603,1713.2955602741438,416.58957694441557,0.5,14978,0.0
