id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76347,"1","1",4188.6,4188.6,0,4188.6,4188.6,4188.6,0,4188.6,4188.6,4188.6,4188.6,0
76320,"1","1",1179.27,1179.27,0,1179.27,1179.27,1179.27,0,1179.27,1179.27,1179.27,1179.27,0
76321,"1","1",9015.83,9015.83,0,9015.83,9015.83,9015.83,0,9015.83,9015.83,9015.83,9015.83,0
76322,"1","1",14247.52,14247.52,0,14247.52,14247.52,14247.52,0,14247.52,14247.52,14247.52,14247.52,0
10787,"2","2",419,10270.25,9851.25,10689.25,5344.625,5344.625,4925.625,419,419,419,10270.25,9851.25
10782,"2","2",2052,4121.33,2069.33,6173.33,3086.665,3086.665,1034.665,2052,2052,2052,4121.33,2069.33
76409,"1","1",6190.36,6190.36,0,6190.36,6190.36,6190.36,0,6190.36,6190.36,6190.36,6190.36,0
76410,"1","1",6190.36,6190.36,0,6190.36,6190.36,6190.36,0,6190.36,6190.36,6190.36,6190.36,0
76404,"1","1",19666.37,19666.37,0,19666.37,19666.37,19666.37,0,19666.37,19666.37,19666.37,19666.37,0
76401,"1","1",286.15,286.15,0,286.15,286.15,286.15,0,286.15,286.15,286.15,286.15,0
76402,"1","1",286.15,286.15,0,286.15,286.15,286.15,0,286.15,286.15,286.15,286.15,0
76403,"1","1",19666.37,19666.37,0,19666.37,19666.37,19666.37,0,19666.37,19666.37,19666.37,19666.37,0
76398,"1","1",12177.89,12177.89,0,12177.89,12177.89,12177.89,0,12177.89,12177.89,12177.89,12177.89,0
76399,"1","1",12177.89,12177.89,0,12177.89,12177.89,12177.89,0,12177.89,12177.89,12177.89,12177.89,0
76384,"1","1",4716.19,4716.19,0,4716.19,4716.19,4716.19,0,4716.19,4716.19,4716.19,4716.19,0
76385,"1","1",4437.44,4437.44,0,4437.44,4437.44,4437.44,0,4437.44,4437.44,4437.44,4437.44,0
76386,"3","3",997.26,10419.02,9421.76,15853.72,5284.57333333333,4437.44,3892.78105709644,997.26,997.26,2717.35,7428.23,4710.88
76381,"1","1",14865.73,14865.73,0,14865.73,14865.73,14865.73,0,14865.73,14865.73,14865.73,14865.73,0
76382,"1","1",14865.73,14865.73,0,14865.73,14865.73,14865.73,0,14865.73,14865.73,14865.73,14865.73,0
76383,"1","1",7181.95,7181.95,0,7181.95,7181.95,7181.95,0,7181.95,7181.95,7181.95,7181.95,0
76352,"1","1",1497.59,1497.59,0,1497.59,1497.59,1497.59,0,1497.59,1497.59,1497.59,1497.59,0
76479,"2","2",14.88,27134.33,27119.45,27149.21,13574.605,13574.605,13559.725,14.88,14.88,14.88,27134.33,27119.45
76464,"4","4",448.07,9885.16,9437.09,20923.68,5230.92,5295.225,3605.5793241378,448.07,448.07,1906.315,8555.525,6649.21
76465,"1","1",9888.77,9888.77,0,9888.77,9888.77,9888.77,0,9888.77,9888.77,9888.77,9888.77,0
76466,"4","4",369,14070.63,13701.63,30435.92,7608.98,7998.145,6298.87836480829,369,369,1350.06,13867.9,12517.84
76467,"1","1",2331.12,2331.12,0,2331.12,2331.12,2331.12,0,2331.12,2331.12,2331.12,2331.12,0
76462,"2","2",10010.43,15868.58,5858.15,25879.01,12939.505,12939.505,2929.075,10010.43,10010.43,10010.43,15868.58,5858.15
76463,"4","4",448.07,10010.43,9562.36,27569.55,6892.3875,8555.525,3883.27594393171,448.07,448.07,3836.98,9947.795,6110.815
76429,"1","1",2003.91,2003.91,0,2003.91,2003.91,2003.91,0,2003.91,2003.91,2003.91,2003.91,0
76430,"1","1",667.17,667.17,0,667.17,667.17,667.17,0,667.17,667.17,667.17,667.17,0
