id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76332,"3","3",67.9,193.08,125.18,375.28,125.093333333333,114.3,51.6712694723953,67.9,67.9,91.1,153.69,62.59
76333,"1","1",136.62,136.62,0,136.62,136.62,136.62,0,136.62,136.62,136.62,136.62,0
76330,"2","2",305.1,2399.45,2094.35,2704.55,1352.275,1352.275,1047.175,305.1,305.1,305.1,2399.45,2094.35
76331,"1","1",2399.45,2399.45,0,2399.45,2399.45,2399.45,0,2399.45,2399.45,2399.45,2399.45,0
76324,"2","2",326.24,2307.38,1981.14,2633.62,1316.81,1316.81,990.57,326.24,326.24,326.24,2307.38,1981.14
76325,"2","2",245.84,2689.88,2444.04,2935.72,1467.86,1467.86,1222.02,245.84,245.84,245.84,2689.88,2444.04
10782,"1","1",363.06,363.06,0,363.06,363.06,363.06,0,363.06,363.06,363.06,363.06,0
10783,"1","1",71.31,71.31,0,71.31,71.31,71.31,0,71.31,71.31,71.31,71.31,0
76408,"6","6",88.89,1403.45,1314.56,4389.06,731.51,666.7,416.981598235062,88.89,88.89,517.12,1046.2,529.08
76409,"4","4",337.92,616.68,278.76,1964.08,491.02,504.74,111.694502326659,337.92,337.92,385.455,596.585,211.13
76410,"13","13",51.77,817.75,765.98,5174.77,398.059230769231,422.76,268.231689703038,51.77,51.77,88.78,562.33,473.55
76411,"2","2",176.53,1360.82,1184.29,1537.35,768.675,768.675,592.145,176.53,176.53,176.53,1360.82,1184.29
76404,"2","2",649.61,802.55,152.94,1452.16,726.08,726.08,76.47,649.61,649.61,649.61,802.55,152.94
76405,"1","1",708.73,708.73,0,708.73,708.73,708.73,0,708.73,708.73,708.73,708.73,0
76407,"1","1",259.2,259.2,0,259.2,259.2,259.2,0,259.2,259.2,259.2,259.2,0
76400,"4","4",284.07,690.46,406.39,2139.33,534.8325,582.4,156.966341356196,284.07,284.07,403.81,665.855,262.045
76401,"7","7",220.37,751.46,531.09,3068.56,438.365714285714,420.49,159.867118468267,220.37,220.37,336.45,501.67,165.22
76402,"15","15",142.75,1460.62,1317.87,6924.97,461.664666666667,378.95,296.195450648535,142.75,142.75,328.595,486.365,157.77
76403,"6","6",178.08,802.55,624.47,3051.23,508.538333333333,579.955,230.951294390301,178.08,178.08,239.89,670.8,430.91
76398,"7","7",109.94,905.23,795.29,2839.59,405.655714285714,338.95,234.733798093387,109.94,109.94,274.595,468.14,193.545
76399,"19","19",148.79,905.23,756.44,8023.68,422.298947368421,426.1,171.802094494148,148.79,148.79,293.25,503.685,210.435
76392,"2","2",2313.29,12363.8,10050.51,14677.09,7338.545,7338.545,5025.255,2313.29,2313.29,2313.29,12363.8,10050.51
76393,"1","1",494.67,494.67,0,494.67,494.67,494.67,0,494.67,494.67,494.67,494.67,0
76394,"1","1",111.5,111.5,0,111.5,111.5,111.5,0,111.5,111.5,111.5,111.5,0
76395,"1","1",297.19,297.19,0,297.19,297.19,297.19,0,297.19,297.19,297.19,297.19,0
76368,"1","1",44.76,44.76,0,44.76,44.76,44.76,0,44.76,44.76,44.76,44.76,0
76365,"4","4",51.6,1968.54,1916.94,2567.96,641.99,273.91,775.666543625545,51.6,51.6,104.26,1179.72,1075.46
76366,"2","2",156.92,271.65,114.73,428.57,214.285,214.285,57.365,156.92,156.92,156.92,271.65,114.73
76367,"1","1",271.65,271.65,0,271.65,271.65,271.65,0,271.65,271.65,271.65,271.65,0
76358,"7","7",1342.57,4668.56,3325.99,22990.48,3284.35428571429,3394.85,967.636844406548,1342.57,1342.57,3027.25,3765,737.75
76359,"4","4",2688.915,4668.56,1979.645,13745.465,3436.36625,3193.995,754.181330378966,2688.915,2688.915,2841.0275,4031.705,1190.6775
76476,"7","7",170.45,4101.51,3931.06,10308.97,1472.71,1155.59,1247.82632881572,170.45,170.45,690.23,1750.48,1060.25
76477,"11","11",63.37,1370.1,1306.73,4147.4,377.036363636364,196.74,387.253433866405,63.37,63.37,146.74,407.13,260.39
