id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76359,"1","1",9993.68,9993.68,0,9993.68,9993.68,9993.68,0,9993.68,9993.68,9993.68,9993.68,0
76447,"1","1",21.29,21.29,0,21.29,21.29,21.29,0,21.29,21.29,21.29,21.29,0
76524,"1","1",3165.62,3165.62,0,3165.62,3165.62,3165.62,0,3165.62,3165.62,3165.62,3165.62,0
76522,"1","1",1998.37,1998.37,0,1998.37,1998.37,1998.37,0,1998.37,1998.37,1998.37,1998.37,0
76523,"1","1",3165.62,3165.62,0,3165.62,3165.62,3165.62,0,3165.62,3165.62,3165.62,3165.62,0
76514,"1","1",995.11,995.11,0,995.11,995.11,995.11,0,995.11,995.11,995.11,995.11,0
75177,"1","1",206.28,206.28,0,206.28,206.28,206.28,0,206.28,206.28,206.28,206.28,0
75252,"1","1",1252.4,1252.4,0,1252.4,1252.4,1252.4,0,1252.4,1252.4,1252.4,1252.4,0
75224,"1","1",130.18,130.18,0,130.18,130.18,130.18,0,130.18,130.18,130.18,130.18,0
74934,"1","1",335.53,335.53,0,335.53,335.53,335.53,0,335.53,335.53,335.53,335.53,0
74908,"2","2",89.78,6991.32,6901.54,7081.1,3540.55,3540.55,3450.77,89.78,89.78,89.78,6991.32,6901.54
74909,"3","3",11.32,89.78,78.46,177.43,59.1433333333333,76.33,34.2591013049412,11.32,11.32,43.825,83.055,39.23
74907,"1","1",6991.32,6991.32,0,6991.32,6991.32,6991.32,0,6991.32,6991.32,6991.32,6991.32,0
74993,"1","1",1096.6,1096.6,0,1096.6,1096.6,1096.6,0,1096.6,1096.6,1096.6,1096.6,0
74980,"1","1",1186.19,1186.19,0,1186.19,1186.19,1186.19,0,1186.19,1186.19,1186.19,1186.19,0
75526,"1","1",90.26,90.26,0,90.26,90.26,90.26,0,90.26,90.26,90.26,90.26,0
75634,"1","1",4780.84,4780.84,0,4780.84,4780.84,4780.84,0,4780.84,4780.84,4780.84,4780.84,0
75604,"1","1",2852.65,2852.65,0,2852.65,2852.65,2852.65,0,2852.65,2852.65,2852.65,2852.65,0
75605,"1","1",2852.65,2852.65,0,2852.65,2852.65,2852.65,0,2852.65,2852.65,2852.65,2852.65,0
75588,"1","1",1341.39,1341.39,0,1341.39,1341.39,1341.39,0,1341.39,1341.39,1341.39,1341.39,0
75585,"1","1",719.33,719.33,0,719.33,719.33,719.33,0,719.33,719.33,719.33,719.33,0
75586,"1","1",719.33,719.33,0,719.33,719.33,719.33,0,719.33,719.33,719.33,719.33,0
75587,"1","1",1341.39,1341.39,0,1341.39,1341.39,1341.39,0,1341.39,1341.39,1341.39,1341.39,0
75710,"1","1",944.83,944.83,0,944.83,944.83,944.83,0,944.83,944.83,944.83,944.83,0
75301,"2","2",2852.65,13598.06,10745.41,16450.71,8225.355,8225.355,5372.705,2852.65,2852.65,2852.65,13598.06,10745.41
75303,"1","1",4374.18,4374.18,0,4374.18,4374.18,4374.18,0,4374.18,4374.18,4374.18,4374.18,0
75284,"1","1",1186.19,1186.19,0,1186.19,1186.19,1186.19,0,1186.19,1186.19,1186.19,1186.19,0
75519,"1","1",424.75,424.75,0,424.75,424.75,424.75,0,424.75,424.75,424.75,424.75,0
74093,"1","1",1812.68,1812.68,0,1812.68,1812.68,1812.68,0,1812.68,1812.68,1812.68,1812.68,0
74095,"1","1",1161.01,1161.01,0,1161.01,1161.01,1161.01,0,1161.01,1161.01,1161.01,1161.01,0
