id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76358,"1","1",1920.4,1920.4,0,1920.4,1920.4,1920.4,0,1920.4,1920.4,1920.4,1920.4,0
76476,"1","1",577.35,577.35,0,577.35,577.35,577.35,0,577.35,577.35,577.35,577.35,0
76450,"1","1",1108.37,1108.37,0,1108.37,1108.37,1108.37,0,1108.37,1108.37,1108.37,1108.37,0
76436,"2","2",986.76,1063.37,76.6099999999999,2050.13,1025.065,1025.065,38.3049999999999,986.76,986.76,986.76,1063.37,76.6099999999999
76437,"1","1",1063.37,1063.37,0,1063.37,1063.37,1063.37,0,1063.37,1063.37,1063.37,1063.37,0
76434,"1","1",498.87,498.87,0,498.87,498.87,498.87,0,498.87,498.87,498.87,498.87,0
76522,"1","1",1876.87,1876.87,0,1876.87,1876.87,1876.87,0,1876.87,1876.87,1876.87,1876.87,0
76514,"1","1",5065.88,5065.88,0,5065.88,5065.88,5065.88,0,5065.88,5065.88,5065.88,5065.88,0
75016,"1","1",1511.93,1511.93,0,1511.93,1511.93,1511.93,0,1511.93,1511.93,1511.93,1511.93,0
75121,"1","1",110.31,110.31,0,110.31,110.31,110.31,0,110.31,110.31,110.31,110.31,0
75119,"1","1",872.1,872.1,0,872.1,872.1,872.1,0,872.1,872.1,872.1,872.1,0
75110,"1","1",794.4,794.4,0,794.4,794.4,794.4,0,794.4,794.4,794.4,794.4,0
75260,"1","1",645.94,645.94,0,645.94,645.94,645.94,0,645.94,645.94,645.94,645.94,0
75259,"1","1",645.94,645.94,0,645.94,645.94,645.94,0,645.94,645.94,645.94,645.94,0
75224,"6","6",37.69,3575.03,3537.34,7547.66,1257.94333333333,181.86,1622.07909904405,37.69,37.69,50.12,3521.1,3470.98
75225,"1","1",37.69,37.69,0,37.69,37.69,37.69,0,37.69,37.69,37.69,37.69,0
75221,"3","3",203.48,828.22,624.74,1283.07,427.69,251.37,283.891497700559,203.48,203.48,227.425,539.795,312.37
74815,"1","1",872.1,872.1,0,872.1,872.1,872.1,0,872.1,872.1,872.1,872.1,0
74819,"1","1",821.3,821.3,0,821.3,821.3,821.3,0,821.3,821.3,821.3,821.3,0
