id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76330,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
76331,"1","1",5205.721,5205.721,0,5205.721,5205.721,5205.721,0,5205.721,5205.721,5205.721,5205.721,0
10783,"1","1",8537.76,8537.76,0,8537.76,8537.76,8537.76,0,8537.76,8537.76,8537.76,8537.76,0
76412,"1","1",1998.29,1998.29,0,1998.29,1998.29,1998.29,0,1998.29,1998.29,1998.29,1998.29,0
76359,"1","1",5266.53,5266.53,0,5266.53,5266.53,5266.53,0,5266.53,5266.53,5266.53,5266.53,0
76476,"2","2",6363.52,8735.22,2371.7,15098.74,7549.37,7549.37,1185.85,6363.52,6363.52,6363.52,8735.22,2371.7
76477,"1","1",8735.22,8735.22,0,8735.22,8735.22,8735.22,0,8735.22,8735.22,8735.22,8735.22,0
76473,"1","1",11595.67,11595.67,0,11595.67,11595.67,11595.67,0,11595.67,11595.67,11595.67,11595.67,0
76450,"2","2",1480.43,10427.9,8947.47,11908.33,5954.165,5954.165,4473.735,1480.43,1480.43,1480.43,10427.9,8947.47
76451,"2","2",10427.9,12965.58,2537.68,23393.48,11696.74,11696.74,1268.84,10427.9,10427.9,10427.9,12965.58,2537.68
76444,"1","1",1978.26,1978.26,0,1978.26,1978.26,1978.26,0,1978.26,1978.26,1978.26,1978.26,0
76445,"1","1",1978.26,1978.26,0,1978.26,1978.26,1978.26,0,1978.26,1978.26,1978.26,1978.26,0
76447,"1","1",100.1,100.1,0,100.1,100.1,100.1,0,100.1,100.1,100.1,100.1,0
76437,"1","1",748.5,748.5,0,748.5,748.5,748.5,0,748.5,748.5,748.5,748.5,0
76541,"1","1",65212.69,65212.69,0,65212.69,65212.69,65212.69,0,65212.69,65212.69,65212.69,65212.69,0
76524,"5","5",2.07,18327.44,18325.37,44009.07,8801.814,7218.3,7425.06244753968,2.07,2.07,1998.43,16462.83,14464.4
76525,"3","3",2.07,9053.81,9051.74,12188.48,4062.82666666667,3132.6,3753.44201992725,2.07,2.07,1567.335,6093.205,4525.87
76520,"1","1",34526.09,34526.09,0,34526.09,34526.09,34526.09,0,34526.09,34526.09,34526.09,34526.09,0
76521,"3","3",4586.55,34526.09,29939.54,45352.94,15117.6466666667,6240.3,13740.438535773,4586.55,4586.55,5413.425,20383.195,14969.77
76522,"5","5",1965.6,37936.21,35970.61,67000.85,13400.17,5314.95,13343.4429502749,1965.6,1965.6,4586.55,17197.54,12610.99
76523,"1","1",17197.54,17197.54,0,17197.54,17197.54,17197.54,0,17197.54,17197.54,17197.54,17197.54,0
76516,"2","2",2519.16,6979.07,4459.91,9498.23,4749.115,4749.115,2229.955,2519.16,2519.16,2519.16,6979.07,4459.91
76514,"1","1",4183.71,4183.71,0,4183.71,4183.71,4183.71,0,4183.71,4183.71,4183.71,4183.71,0
76515,"7","7",898.77,7542.11,6643.34,29825.34,4260.76285714286,4183.71,2536.42136014343,898.77,898.77,2000.015,6600.36,4600.345
76504,"1","1",1780.93,1780.93,0,1780.93,1780.93,1780.93,0,1780.93,1780.93,1780.93,1780.93,0
76505,"1","1",1903.28,1903.28,0,1903.28,1903.28,1903.28,0,1903.28,1903.28,1903.28,1903.28,0
76506,"4","4",1247.38,2986.9,1739.52,9081.46,2270.365,2423.59,732.857678867459,1247.38,1247.38,1575.33,2965.4,1390.07
76507,"3","3",1247.38,4307.51,3060.13,7208.92,2402.97333333333,1654.03,1356.90480914797,1247.38,1247.38,1450.705,2980.77,1530.065
76500,"2","2",3504.75,4307.16,802.41,7811.91,3905.955,3905.955,401.205,3504.75,3504.75,3504.75,4307.16,802.41
76501,"3","3",3504.75,5832.19,2327.44,13644.1,4548.03333333333,4307.16,965.318327611271,3504.75,3504.75,3905.955,5069.675,1163.72
76502,"1","1",5832.19,5832.19,0,5832.19,5832.19,5832.19,0,5832.19,5832.19,5832.19,5832.19,0
76484,"1","1",977.61,977.61,0,977.61,977.61,977.61,0,977.61,977.61,977.61,977.61,0
76485,"1","1",977.61,977.61,0,977.61,977.61,977.61,0,977.61,977.61,977.61,977.61,0
76482,"3","3",1812.79,8664.44,6851.65,17223.34,5741.11333333333,6746.11,2886.03426355652,1812.79,1812.79,4279.45,7705.275,3425.825
76483,"1","1",4293.59,4293.59,0,4293.59,4293.59,4293.59,0,4293.59,4293.59,4293.59,4293.59,0
75048,"2","2",20796.75,149246.02,128449.27,170042.77,85021.385,85021.385,64224.635,20796.75,20796.75,20796.75,149246.02,128449.27
75045,"1","1",4118.03,4118.03,0,4118.03,4118.03,4118.03,0,4118.03,4118.03,4118.03,4118.03,0
75047,"1","1",20796.75,20796.75,0,20796.75,20796.75,20796.75,0,20796.75,20796.75,20796.75,20796.75,0
75040,"1","1",3101.67,3101.67,0,3101.67,3101.67,3101.67,0,3101.67,3101.67,3101.67,3101.67,0
75041,"1","1",3101.67,3101.67,0,3101.67,3101.67,3101.67,0,3101.67,3101.67,3101.67,3101.67,0
75037,"1","1",1818.93,1818.93,0,1818.93,1818.93,1818.93,0,1818.93,1818.93,1818.93,1818.93,0
75033,"5","5",17953.08,36955.03,19001.95,148138.65,29627.73,29962.6,6929.96202189593,17953.08,17953.08,27052.87,36215.07,9162.2
75034,"3","3",17953.08,36215.07,18261.99,81221.02,27073.6733333333,27052.87,7455.44071015851,17953.08,17953.08,22502.975,31633.97,9130.995
75035,"1","1",1147.2,1147.2,0,1147.2,1147.2,1147.2,0,1147.2,1147.2,1147.2,1147.2,0
75028,"3","3",1276.29,2859.36,1583.07,5720.64,1906.88,1584.99,685.194636727405,1276.29,1276.29,1430.64,2222.175,791.535
75029,"2","2",1340.55,22316.77,20976.22,23657.32,11828.66,11828.66,10488.11,1340.55,1340.55,1340.55,22316.77,20976.22
75030,"2","2",991.37,1500.64,509.27,2492.01,1246.005,1246.005,254.635,991.37,991.37,991.37,1500.64,509.27
75024,"2","2",1523.7,1862.42,338.72,3386.12,1693.06,1693.06,169.36,1523.7,1523.7,1523.7,1862.42,338.72
75025,"1","1",2993.22,2993.22,0,2993.22,2993.22,2993.22,0,2993.22,2993.22,2993.22,2993.22,0
75026,"1","1",2456.2,2456.2,0,2456.2,2456.2,2456.2,0,2456.2,2456.2,2456.2,2456.2,0
75027,"5","5",1584.99,3024.56,1439.57,11911.04,2382.208,2456.2,536.350208703232,1584.99,1584.99,1985.93,2859.36,873.43
75016,"5","5",1029.15,2981.44,1952.29,10673.28,2134.656,2270.33,716.133936930795,1029.15,1029.15,1648.88,2743.48,1094.6
75015,"3","3",2270.33,2981.44,711.11,7970.33,2656.77666666667,2718.56,293.578204496784,2270.33,2270.33,2494.445,2850,355.555
75008,"5","5",1789.26,2991.55,1202.29,12350.31,2470.062,2487.5,400.381687163636,1789.26,1789.26,2374.09,2707.91,333.82
75009,"2","2",3355.83,23229.16,19873.33,26584.99,13292.495,13292.495,9936.665,3355.83,3355.83,3355.83,23229.16,19873.33
75010,"4","4",32.51,23229.16,23196.65,43544.96,10886.24,10141.645,9770.48492848999,32.51,32.51,1369.055,20403.425,19034.37
75011,"1","1",2705.6,2705.6,0,2705.6,2705.6,2705.6,0,2705.6,2705.6,2705.6,2705.6,0
75128,"1","1",1879.66,1879.66,0,1879.66,1879.66,1879.66,0,1879.66,1879.66,1879.66,1879.66,0
75124,"1","1",23824,23824,0,23824,23824,23824,0,23824,23824,23824,23824,0
75125,"1","1",23824,23824,0,23824,23824,23824,0,23824,23824,23824,23824,0
9580,"1","1",5496.3,5496.3,0,5496.3,5496.3,5496.3,0,5496.3,5496.3,5496.3,5496.3,0
9581,"1","1",5496.3,5496.3,0,5496.3,5496.3,5496.3,0,5496.3,5496.3,5496.3,5496.3,0
75115,"1","1",2344.05,2344.05,0,2344.05,2344.05,2344.05,0,2344.05,2344.05,2344.05,2344.05,0
75196,"1","1",1135.96,1135.96,0,1135.96,1135.96,1135.96,0,1135.96,1135.96,1135.96,1135.96,0
75197,"1","1",1598.4,1598.4,0,1598.4,1598.4,1598.4,0,1598.4,1598.4,1598.4,1598.4,0
75261,"1","1",4374.24,4374.24,0,4374.24,4374.24,4374.24,0,4374.24,4374.24,4374.24,4374.24,0
75262,"1","1",4374.24,4374.24,0,4374.24,4374.24,4374.24,0,4374.24,4374.24,4374.24,4374.24,0
75259,"1","1",9881.46,9881.46,0,9881.46,9881.46,9881.46,0,9881.46,9881.46,9881.46,9881.46,0
75236,"3","3",3.57,406.02,402.45,610.81,203.603333333333,201.22,164.308167444254,3.57,3.57,102.395,303.62,201.225
75235,"1","1",3573.37,3573.37,0,3573.37,3573.37,3573.37,0,3573.37,3573.37,3573.37,3573.37,0
75220,"1","1",8932.98,8932.98,0,8932.98,8932.98,8932.98,0,8932.98,8932.98,8932.98,8932.98,0
75221,"1","1",1644.28,1644.28,0,1644.28,1644.28,1644.28,0,1644.28,1644.28,1644.28,1644.28,0
75222,"1","1",2283.31,2283.31,0,2283.31,2283.31,2283.31,0,2283.31,2283.31,2283.31,2283.31,0
75223,"2","2",29.7,435.5,405.8,465.2,232.6,232.6,202.9,29.7,29.7,29.7,435.5,405.8
75219,"1","1",1831.47,1831.47,0,1831.47,1831.47,1831.47,0,1831.47,1831.47,1831.47,1831.47,0
9277,"1","1",5496.3,5496.3,0,5496.3,5496.3,5496.3,0,5496.3,5496.3,5496.3,5496.3,0
74810,"1","1",1330.73,1330.73,0,1330.73,1330.73,1330.73,0,1330.73,1330.73,1330.73,1330.73,0
74811,"2","2",763.05,2344.05,1581,3107.1,1553.55,1553.55,790.5,763.05,763.05,763.05,2344.05,1581
74840,"1","1",6662.99,6662.99,0,6662.99,6662.99,6662.99,0,6662.99,6662.99,6662.99,6662.99,0
74839,"1","1",6662.99,6662.99,0,6662.99,6662.99,6662.99,0,6662.99,6662.99,6662.99,6662.99,0
74834,"1","1",2446.74,2446.74,0,2446.74,2446.74,2446.74,0,2446.74,2446.74,2446.74,2446.74,0
74835,"1","1",2446.74,2446.74,0,2446.74,2446.74,2446.74,0,2446.74,2446.74,2446.74,2446.74,0
74824,"1","1",1879.66,1879.66,0,1879.66,1879.66,1879.66,0,1879.66,1879.66,1879.66,1879.66,0
74821,"1","1",8098.5,8098.5,0,8098.5,8098.5,8098.5,0,8098.5,8098.5,8098.5,8098.5,0
