id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76433,"4","4",149.12,4043.29,3894.17,6184.22,1546.055,995.905,1583.54061145428,149.12,149.12,179.215,2912.895,2733.68
76434,"1","1",2373.05,2373.05,0,2373.05,2373.05,2373.05,0,2373.05,2373.05,2373.05,2373.05,0
76435,"1","1",7091.87,7091.87,0,7091.87,7091.87,7091.87,0,7091.87,7091.87,7091.87,7091.87,0
76524,"1","1",1183.09,1183.09,0,1183.09,1183.09,1183.09,0,1183.09,1183.09,1183.09,1183.09,0
76507,"3","3",59.24,11871.29,11812.05,12942.68,4314.22666666667,1012.15,5357.79270689173,59.24,59.24,535.695,6441.72,5906.025
75016,"1","1",2797.27,2797.27,0,2797.27,2797.27,2797.27,0,2797.27,2797.27,2797.27,2797.27,0
75010,"1","1",2722.26,2722.26,0,2722.26,2722.26,2722.26,0,2722.26,2722.26,2722.26,2722.26,0
75178,"1","1",9098.6,9098.6,0,9098.6,9098.6,9098.6,0,9098.6,9098.6,9098.6,9098.6,0
75179,"1","1",9098.6,9098.6,0,9098.6,9098.6,9098.6,0,9098.6,9098.6,9098.6,9098.6,0
75248,"3","3",2802.55,14781.7,11979.15,22255.74,7418.58,4671.49,5262.12164319678,2802.55,2802.55,3737.02,9726.595,5989.575
75249,"1","1",14781.7,14781.7,0,14781.7,14781.7,14781.7,0,14781.7,14781.7,14781.7,14781.7,0
75245,"2","2",124.74,39888.8,39764.06,40013.54,20006.77,20006.77,19882.03,124.74,124.74,124.74,39888.8,39764.06
75246,"1","1",39888.8,39888.8,0,39888.8,39888.8,39888.8,0,39888.8,39888.8,39888.8,39888.8,0
75247,"2","2",572.57,4671.49,4098.92,5244.06,2622.03,2622.03,2049.46,572.57,572.57,572.57,4671.49,4098.92
74821,"2","2",2335.98,2911.98,576,5247.96,2623.98,2623.98,288,2335.98,2335.98,2335.98,2911.98,576
74942,"1","1",39888.8,39888.8,0,39888.8,39888.8,39888.8,0,39888.8,39888.8,39888.8,39888.8,0
74920,"2","2",11150,13056.74,1906.74,24206.74,12103.37,12103.37,953.37,11150,11150,11150,13056.74,1906.74
74921,"1","1",11150,11150,0,11150,11150,11150,0,11150,11150,11150,11150,0
74998,"1","1",2493.76,2493.76,0,2493.76,2493.76,2493.76,0,2493.76,2493.76,2493.76,2493.76,0
74944,"1","1",14781.7,14781.7,0,14781.7,14781.7,14781.7,0,14781.7,14781.7,14781.7,14781.7,0
74945,"1","1",14781.7,14781.7,0,14781.7,14781.7,14781.7,0,14781.7,14781.7,14781.7,14781.7,0
75552,"1","1",4671.49,4671.49,0,4671.49,4671.49,4671.49,0,4671.49,4671.49,4671.49,4671.49,0
75551,"1","1",4671.49,4671.49,0,4671.49,4671.49,4671.49,0,4671.49,4671.49,4671.49,4671.49,0
75624,"1","1",49659.19,49659.19,0,49659.19,49659.19,49659.19,0,49659.19,49659.19,49659.19,49659.19,0
75625,"2","2",37090.03,49659.19,12569.16,86749.22,43374.61,43374.61,6284.58,37090.03,37090.03,37090.03,49659.19,12569.16
75619,"1","1",2755.16,2755.16,0,2755.16,2755.16,2755.16,0,2755.16,2755.16,2755.16,2755.16,0
75593,"1","1",7342.36,7342.36,0,7342.36,7342.36,7342.36,0,7342.36,7342.36,7342.36,7342.36,0
75315,"1","1",2755.16,2755.16,0,2755.16,2755.16,2755.16,0,2755.16,2755.16,2755.16,2755.16,0
75302,"1","1",2493.76,2493.76,0,2493.76,2493.76,2493.76,0,2493.76,2493.76,2493.76,2493.76,0
74070,"1","1",3960.65,3960.65,0,3960.65,3960.65,3960.65,0,3960.65,3960.65,3960.65,3960.65,0
74071,"1","1",3960.65,3960.65,0,3960.65,3960.65,3960.65,0,3960.65,3960.65,3960.65,3960.65,0
74112,"1","1",1604.21,1604.21,0,1604.21,1604.21,1604.21,0,1604.21,1604.21,1604.21,1604.21,0
74224,"1","1",10984.73,10984.73,0,10984.73,10984.73,10984.73,0,10984.73,10984.73,10984.73,10984.73,0
74225,"1","1",10984.73,10984.73,0,10984.73,10984.73,10984.73,0,10984.73,10984.73,10984.73,10984.73,0
74221,"1","1",3297.92,3297.92,0,3297.92,3297.92,3297.92,0,3297.92,3297.92,3297.92,3297.92,0
8666,"1","1",1768.72,1768.72,0,1768.72,1768.72,1768.72,0,1768.72,1768.72,1768.72,1768.72,0
73768,"1","1",3455.12,3455.12,0,3455.12,3455.12,3455.12,0,3455.12,3455.12,3455.12,3455.12,0
73814,"1","1",1526.12,1526.12,0,1526.12,1526.12,1526.12,0,1526.12,1526.12,1526.12,1526.12,0
73815,"1","1",590.83,590.83,0,590.83,590.83,590.83,0,590.83,590.83,590.83,590.83,0
73792,"1","1",2429.97,2429.97,0,2429.97,2429.97,2429.97,0,2429.97,2429.97,2429.97,2429.97,0
73924,"1","1",2892.51,2892.51,0,2892.51,2892.51,2892.51,0,2892.51,2892.51,2892.51,2892.51,0
74525,"1","1",3297.92,3297.92,0,3297.92,3297.92,3297.92,0,3297.92,3297.92,3297.92,3297.92,0
8970,"1","1",1768.72,1768.72,0,1768.72,1768.72,1768.72,0,1768.72,1768.72,1768.72,1768.72,0
74638,"1","1",10948.87,10948.87,0,10948.87,10948.87,10948.87,0,10948.87,10948.87,10948.87,10948.87,0
74712,"2","2",2797.27,3481.49,684.22,6278.76,3139.38,3139.38,342.11,2797.27,2797.27,2797.27,3481.49,684.22
74713,"1","1",3481.49,3481.49,0,3481.49,3481.49,3481.49,0,3481.49,3481.49,3481.49,3481.49,0
74334,"1","1",197.65,197.65,0,197.65,197.65,197.65,0,197.65,197.65,197.65,197.65,0
74335,"1","1",197.65,197.65,0,197.65,197.65,197.65,0,197.65,197.65,197.65,197.65,0
74374,"1","1",2655.06,2655.06,0,2655.06,2655.06,2655.06,0,2655.06,2655.06,2655.06,2655.06,0
81266,"1","1",6408.1,6408.1,0,6408.1,6408.1,6408.1,0,6408.1,6408.1,6408.1,6408.1,0
81221,"1","1",2485.92,2485.92,0,2485.92,2485.92,2485.92,0,2485.92,2485.92,2485.92,2485.92,0
81222,"1","1",2485.92,2485.92,0,2485.92,2485.92,2485.92,0,2485.92,2485.92,2485.92,2485.92,0
81218,"3","3",226.97,2002.31,1775.34,2927.16,975.72,697.88,750.934674522358,226.97,226.97,462.425,1350.095,887.67
81219,"2","2",2002.31,2399.54,397.23,4401.85,2200.925,2200.925,198.615,2002.31,2002.31,2002.31,2399.54,397.23
81325,"1","1",4296.89,4296.89,0,4296.89,4296.89,4296.89,0,4296.89,4296.89,4296.89,4296.89,0
81393,"1","1",4616.73,4616.73,0,4616.73,4616.73,4616.73,0,4616.73,4616.73,4616.73,4616.73,0
81378,"1","1",27743.63,27743.63,0,27743.63,27743.63,27743.63,0,27743.63,27743.63,27743.63,27743.63,0
80913,"1","1",8574.5,8574.5,0,8574.5,8574.5,8574.5,0,8574.5,8574.5,8574.5,8574.5,0
