id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76332,"10","10",0,447.3,447.3,2283.64,228.364,229.59,123.090379819058,0,0,133.65,249.86,116.21
76333,"6","6",152.86,11425.28,11272.42,21816.3,3636.05,190.98,4916.58250555878,152.86,152.86,176.46,9679.74,9503.28
76334,"2","2",11081.24,11425.28,344.040000000001,22506.52,11253.26,11253.26,172.02,11081.24,11081.24,11081.24,11425.28,344.040000000001
76328,"2","2",19097.91,21832.37,2734.46,40930.28,20465.14,20465.14,1367.23,19097.91,19097.91,19097.91,21832.37,2734.46
76330,"1","1",4325,4325,0,4325,4325,4325,0,4325,4325,4325,4325,0
76331,"5","4",228.69,4325,4096.31,6906.85,1381.37,234.9,1605.92407308689,234.9,228.69,228.69,1889.57,1660.88
76324,"4","4",35.54,17393.41,17357.87,23696.67,5924.1675,3133.86,6746.14030935236,35.54,35.54,1407.73,10440.605,9032.875
76325,"4","4",775.5,12480.7,11705.2,26186.43,6546.6075,6465.115,4643.8461120249,775.5,775.5,2131.65,10961.565,8829.915
76326,"6","6",775.5,12561.1,11785.6,51679.04,8613.17333333333,9262.91,3994.29458535408,775.5,775.5,7335.92,12480.7,5144.78
76327,"4","3",13416.99,21832.37,8415.38,67764.26,16941.065,16257.45,3654.28016743038,19097.91,13416.99,13416.99,20465.14,7048.15
76320,"4","4",6086.07,7905.346,1819.276,28539.932,7134.983,7274.258,788.612564818111,6086.07,6086.07,6372.925,7897.041,1524.116
76321,"1","1",6957.46,6957.46,0,6957.46,6957.46,6957.46,0,6957.46,6957.46,6957.46,6957.46,0
76322,"4","3",1380.92,10436.19,9055.27,32680.65,8170.1625,10431.77,3919.77264632386,1380.92,10436.19,5904.135,10436.19,4532.055
10785,"1","1",5782.08,5782.08,0,5782.08,5782.08,5782.08,0,5782.08,5782.08,5782.08,5782.08,0
76323,"5","5",6957.46,17393.41,10435.95,55911.86,11182.372,10436.19,3399.67261920556,6957.46,6957.46,10427.35,10697.45,270.1
10786,"3","3",395.7,7785.03,7389.33,9148.94,3049.64666666667,968.21,3356.56902309817,395.7,395.7,681.955,4376.62,3694.665
10787,"1","1",10289.04,10289.04,0,10289.04,10289.04,10289.04,0,10289.04,10289.04,10289.04,10289.04,0
76319,"2","2",5.08,7905.346,7900.266,7910.426,3955.213,3955.213,3950.133,5.08,5.08,5.08,7905.346,7900.266
76412,"6","6",30.37,235.52,205.15,441.34,73.5566666666667,40.105,72.9773886594715,30.37,30.37,35.93,59.31,23.38
76408,"44","43",51.77,659.5,607.73,11344.32,257.825454545455,251.58,160.180641712221,51.77,53.72,111.555,331.205,219.65
76409,"29","29",53.02,3048.72,2995.7,11260.88,388.306206896552,169.68,644.057619945413,53.02,53.02,136.7,318.43,181.73
76410,"19","19",54.02,450.78,396.76,3353.35,176.492105263158,149.49,93.6717812127423,54.02,54.02,122.235,199.205,76.97
76411,"26","26",23.14,2638.8,2615.66,7992.6,307.407692307692,138.81,518.870988540043,23.14,23.14,54.32,240.04,185.72
76404,"29","29",92.8,658.41,565.61,8836.27,304.698965517241,296.91,130.356714715214,92.8,92.8,223.61,398.82,175.21
76405,"49","49",62.41,1003.36,940.95,14438.82,294.669795918367,249.62,191.579395301374,62.41,62.41,174.58,368.49,193.91
76406,"58","50",52.13,525.26,473.13,9039.45,155.852586206897,139.05,104.653701016328,52.13,54.54,74.38,228.17,153.79
76407,"59","57",45.99,659.5,613.51,12558.3,212.852542372881,173.88,165.55553966532,45.99,62.65,69.01,258.41,189.4
76400,"68","67",45.65,658.54,612.89,10098.47,148.506911764706,127.81,105.918240281296,45.65,81.49,67.585,198.415,130.83
76401,"62","62",48.27,563.49,515.22,12788.55,206.266935483871,199.3,105.686339316054,48.27,48.27,134.78,247.86,113.08
76402,"18","18",70.98,455.24,384.26,4374.44,243.024444444444,233.145,100.071102401255,70.98,70.98,178.74,272.46,93.72
76403,"11","11",78.02,780.59,702.57,3376.93,306.993636363636,221.8,207.966126886643,78.02,78.02,181.22,332.085,150.865
76398,"2","2",40.93,341.26,300.33,382.19,191.095,191.095,150.165,40.93,40.93,40.93,341.26,300.33
76399,"32","32",56.46,341.26,284.8,5313.62,166.050625,179.34,71.4340968978357,56.46,56.46,98.34,198.855,100.515
76392,"20","18",16.62,7801.12,7784.5,16415.7,820.785,150.235,1970.12767522184,33.16,16.62,49.65,340.53,290.88
76393,"65","62",67.77,382.56,314.79,9144.26,140.680923076923,95.7,88.920506637594,67.77,81.95,81.95,163.9,81.95
76394,"57","55",73.02,659.74,586.72,8363.96,146.736140350877,109.16,100.733508001191,73.02,95.54,92.4,161.92,69.52
76395,"8","8",87.87,292.64,204.77,1330.29,166.28625,137.88,82.6833937283509,87.87,87.87,89.75,247.26,157.51
76388,"4","3",2597.1576,6827.0246,4229.867,19812.8126,4953.20315,5194.3152,1514.79598473403,2597.1576,5194.3152,3895.7364,6010.6699,2114.9335
76389,"1","1",6827.0246,6827.0246,0,6827.0246,6827.0246,6827.0246,0,6827.0246,6827.0246,6827.0246,6827.0246,0
76390,"3","2",3700.98,3730.14,29.1599999999999,11161.26,3720.42,3730.14,13.7461558262664,3700.98,3730.14,3715.56,3730.14,14.5799999999999
76391,"9","7",16.62,7801.12,7784.5,27317.27,3035.25222222222,3119.37,2998.86308738561,3119.37,16.62,18,6259.38,6241.38
