id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
76437,"1","1",177793.43,177793.43,0,177793.43,177793.43,177793.43,0,177793.43,177793.43,177793.43,177793.43,0
76438,"1","1",177793.43,177793.43,0,177793.43,177793.43,177793.43,0,177793.43,177793.43,177793.43,177793.43,0
76439,"1","1",177793.43,177793.43,0,177793.43,177793.43,177793.43,0,177793.43,177793.43,177793.43,177793.43,0
76528,"1","1",47716.644,47716.644,0,47716.644,47716.644,47716.644,0,47716.644,47716.644,47716.644,47716.644,0
76529,"1","1",47716.644,47716.644,0,47716.644,47716.644,47716.644,0,47716.644,47716.644,47716.644,47716.644,0
76501,"1","1",2170.98,2170.98,0,2170.98,2170.98,2170.98,0,2170.98,2170.98,2170.98,2170.98,0
75048,"1","1",71591.57,71591.57,0,71591.57,71591.57,71591.57,0,71591.57,71591.57,71591.57,71591.57,0
75049,"1","1",71591.57,71591.57,0,71591.57,71591.57,71591.57,0,71591.57,71591.57,71591.57,71591.57,0
75050,"1","1",71591.57,71591.57,0,71591.57,71591.57,71591.57,0,71591.57,71591.57,71591.57,71591.57,0
75129,"1","1",39789.77,39789.77,0,39789.77,39789.77,39789.77,0,39789.77,39789.77,39789.77,39789.77,0
75126,"1","1",38519.92,38519.92,0,38519.92,38519.92,38519.92,0,38519.92,38519.92,38519.92,38519.92,0
75227,"1","1",257.86,257.86,0,257.86,257.86,257.86,0,257.86,257.86,257.86,257.86,0
75221,"1","1",39211.08,39211.08,0,39211.08,39211.08,39211.08,0,39211.08,39211.08,39211.08,39211.08,0
75222,"4","4",76.33,39211.08,39134.75,65362.79,16340.6975,13037.69,16903.0090984658,76.33,76.33,100.975,32580.42,32479.445
74838,"1","1",166.24,166.24,0,166.24,166.24,166.24,0,166.24,166.24,166.24,166.24,0
74825,"1","1",39789.77,39789.77,0,39789.77,39789.77,39789.77,0,39789.77,39789.77,39789.77,39789.77,0
